DoctorKey,DoctorID,FirstName,LastName,FullName,Gender,Specialization,Qualification,ExperienceYears,DepartmentKey,HospitalKey,ConsultationFee,IsActive
27,DOC0027,Kristen,Harrison,Dr. Kristen Harrison,Male,Orthopedics,DM,26,18,10,722,True
28,DOC0028,Jessica,Marshall,Dr. Jessica Marshall,Male,Radiology,MBBS,4,5,9,205,False
29,DOC0029,James,Spencer,Dr. James Spencer,Male,Dermatology,MRCP,37,19,12,712,True
30,DOC0030,Jeffrey,Fisher,Dr. Jeffrey Fisher,Male,Gastroenterology,FACC,4,13,2,68,True
31,DOC0031,Kayla,Jones,Dr. Kayla Jones,Female,ENT,MBBS,27,15,9,60,False
32,DOC0032,Taylor,Burton,Dr. Taylor Burton,Male,Rheumatology,MCh,32,16,13,119,True
33,DOC0033,Samantha,Acosta,Dr. Samantha Acosta,Female,Emergency,PhD,21,4,14,460,True
34,DOC0034,Lance,Buchanan,Dr. Lance Buchanan,Female,Gastroenterology,FRCS,20,15,15,249,True
35,DOC0035,Scott,Rowe,Dr. Scott Rowe,Female,Cardiology,FACC,5,5,4,498,True
36,DOC0036,Grace,Gonzalez,Dr. Grace Gonzalez,Female,Urology,MCh,10,6,3,664,True
37,DOC0037,Clarence,Allen,Dr. Clarence Allen,Female,Oncology,FRCS,34,3,9,70,True
38,DOC0038,John,Francis,Dr. John Francis,Non-binary,Neurology,FACC,14,4,7,444,True
39,DOC0039,Rebecca,Nguyen,Dr. Rebecca Nguyen,Male,Nephrology,MRCP,2,20,4,604,True
40,DOC0040,Barry,Holland,Dr. Barry Holland,Male,Oncology,MS,29,7,2,368,True
41,DOC0041,Stephanie,Lyons,Dr. Stephanie Lyons,Male,Dermatology,MRCP,27,8,3,743,True
42,DOC0042,Michael,Chapman,Dr. Michael Chapman,Male,Orthopedics,MCh,3,10,6,546,True
43,DOC0043,Hannah,Mitchell,Dr. Hannah Mitchell,Male,Endocrinology,MBBS,2,15,12,75,True
44,DOC0044,Scott,Lynch,Dr. Scott Lynch,Female,Psychiatry,FRCS,5,12,1,456,True
45,DOC0045,Sierra,Jordan,Dr. Sierra Jordan,Male,Pulmonology,MRCP,2,11,2,337,True
46,DOC0046,Joseph,Lawrence,Dr. Joseph Lawrence,Female,Ophthalmology,DM,25,17,4,148,True
47,DOC0047,Jessica,Brown,Dr. Jessica Brown,Male,Obstetrics,MCh,6,10,14,762,True
48,DOC0048,Annette,Baker,Dr. Annette Baker,Male,Oncology,DM,24,16,15,216,True
49,DOC0049,Nicole,Cantu,Dr. Nicole Cantu,Male,Oncology,MD,7,19,7,112,True
50,DOC0050,Karen,Murphy,Dr. Karen Murphy,Male,Pediatrics,FACC,38,14,1,216,True
51,DOC0051,Richard,Ramirez,Dr. Richard Ramirez,Male,Pediatrics,MBBS,29,1,1,667,True
52,DOC0052,Bradley,Booth,Dr. Bradley Booth,Male,Radiology,PhD,15,6,13,499,True
53,DOC0053,Jose,Moody,Dr. Jose Moody,Male,Pediatrics,MBBS,17,13,7,664,True
54,DOC0054,Casey,Avery,Dr. Casey Avery,Male,Pulmonology,DO,3,10,2,396,True
55,DOC0055,Thomas,Little,Dr. Thomas Little,Male,Orthopedics,FACC,3,6,13,137,True
56,DOC0056,Paul,Curry,Dr. Paul Curry,Male,Urology,DO,21,7,8,340,True
57,DOC0057,Bruce,Lara,Dr. Bruce Lara,Male,Radiology,DO,1,2,6,199,True
58,DOC0058,Jennifer,Medina,Dr. Jennifer Medina,Male,Nephrology,MRCP,25,5,7,467,False
59,DOC0059,Brian,Booker,Dr. Brian Booker,Male,Gastroenterology,FACC,15,16,4,252,True
60,DOC0060,Danny,Phillips,Dr. Danny Phillips,Male,Rheumatology,MRCP,6,1,14,777,True
61,DOC0061,Richard,Shea,Dr. Richard Shea,Male,Obstetrics,MS,21,17,12,332,True
62,DOC0062,Roy,Sutton,Dr. Roy Sutton,Female,Emergency,PhD,22,7,3,285,True
63,DOC0063,Sierra,Hernandez,Dr. Sierra Hernandez,Non-binary,Pulmonology,MRCP,30,17,12,788,True
64,DOC0064,Emma,Johnson,Dr. Emma Johnson,Female,Nephrology,MS,8,6,3,440,True
65,DOC0065,Jason,Valentine,Dr. Jason Valentine,Male,Obstetrics,DO,22,17,7,177,True
66,DOC0066,Bruce,Rhodes,Dr. Bruce Rhodes,Male,Pulmonology,MBBS,33,12,12,410,True
67,DOC0067,Heather,Chavez,Dr. Heather Chavez,Male,Dermatology,MRCP,11,18,1,241,True
68,DOC0068,Miguel,Holland,Dr. Miguel Holland,Female,Radiology,DO,33,2,11,587,True
69,DOC0069,Debbie,James,Dr. Debbie James,Female,Radiology,FRCS,29,16,4,480,True
70,DOC0070,Amanda,Hall,Dr. Amanda Hall,Female,Rheumatology,MRCP,17,6,11,597,True
71,DOC0071,Denise,Lyons,Dr. Denise Lyons,Female,Nephrology,MS,35,8,8,755,True
72,DOC0072,Clarence,Martin,Dr. Clarence Martin,Male,Neurology,MCh,38,1,1,596,True
73,DOC0073,Lisa,Cohen,Dr. Lisa Cohen,Female,ICU,MRCP,10,20,12,305,True
74,DOC0074,Pamela,Phillips,Dr. Pamela Phillips,Female,Endocrinology,MD,39,13,4,201,True
75,DOC0075,Stanley,Phillips,Dr. Stanley Phillips,Male,Neurology,MRCP,1,20,15,447,True
76,DOC0076,James,Hodges,Dr. James Hodges,Female,Endocrinology,MS,6,12,13,386,True
77,DOC0077,Eric,Skinner,Dr. Eric Skinner,Male,Pulmonology,PhD,2,4,3,284,True
78,DOC0078,Sherri,Kerr,Dr. Sherri Kerr,Non-binary,Rheumatology,PhD,15,7,10,658,True
79,DOC0079,Joseph,Moody,Dr. Joseph Moody,Female,Dermatology,DO,37,9,6,732,True
80,DOC0080,Brittany,Mitchell,Dr. Brittany Mitchell,Male,Gastroenterology,MRCP,24,3,10,336,True
81,DOC0081,Daniel,Schroeder,Dr. Daniel Schroeder,Female,Radiology,DM,25,19,9,560,True
82,DOC0082,Juan,Rodgers,Dr. Juan Rodgers,Male,Radiology,MD,4,20,5,788,True
83,DOC0083,Susan,Fisher,Dr. Susan Fisher,Female,Urology,MCh,21,12,10,58,True
84,DOC0084,Rachel,Williams,Dr. Rachel Williams,Female,Ophthalmology,DO,15,12,4,323,True
85,DOC0085,Jimmy,Barton,Dr. Jimmy Barton,Female,ENT,FRCS,19,15,14,603,True
86,DOC0086,Richard,Garcia,Dr. Richard Garcia,Female,Psychiatry,FRCS,11,14,15,423,True
87,DOC0087,Joshua,Mcclure,Dr. Joshua Mcclure,Male,Urology,DM,8,2,3,643,True
88,DOC0088,Monica,Harris,Dr. Monica Harris,Male,Gastroenterology,FACC,38,11,11,405,True
89,DOC0089,Harry,Lawrence,Dr. Harry Lawrence,Male,Radiology,MBBS,22,16,14,98,True
90,DOC0090,Donna,Wilson,Dr. Donna Wilson,Male,Psychiatry,MD,17,17,2,375,True
91,DOC0091,Melissa,Jordan,Dr. Melissa Jordan,Male,Radiology,MBBS,3,12,12,353,True
92,DOC0092,Barbara,Christensen,Dr. Barbara Christensen,Male,Emergency,FACC,30,18,15,684,True
93,DOC0093,Sara,Willis,Dr. Sara Willis,Male,ENT,MD,19,12,4,160,True
94,DOC0094,Kimberly,Parker,Dr. Kimberly Parker,Male,Pulmonology,DO,16,8,9,166,True
95,DOC0095,Daniel,Ferguson,Dr. Daniel Ferguson,Female,Pathology,MRCP,27,9,12,156,True
96,DOC0096,Stephanie,Jones,Dr. Stephanie Jones,Male,ENT,FRCS,6,14,6,475,False
97,DOC0097,Elizabeth,Choi,Dr. Elizabeth Choi,Female,ICU,FACC,21,18,4,796,True
98,DOC0098,Lindsay,Harrison,Dr. Lindsay Harrison,Male,Radiology,MBBS,34,5,6,513,True
99,DOC0099,Michelle,Lee,Dr. Michelle Lee,Male,Gastroenterology,MCh,19,6,6,662,True
100,DOC0100,Rachel,Crosby,Dr. Rachel Crosby,Male,Dermatology,PhD,1,14,11,688,True
101,DOC0101,Stephanie,Wright,Dr. Stephanie Wright,Male,Endocrinology,DO,9,16,6,500,True
102,DOC0102,Raymond,Nolan,Dr. Raymond Nolan,Male,ICU,DO,3,8,6,506,True
103,DOC0103,Angela,Wilson,Dr. Angela Wilson,Male,Gastroenterology,PhD,20,13,15,232,True
104,DOC0104,Stacy,West,Dr. Stacy West,Male,Psychiatry,DM,15,1,9,770,True
105,DOC0105,James,Osborne,Dr. James Osborne,Male,Pulmonology,MD,6,6,14,640,True
106,DOC0106,Candace,Hahn,Dr. Candace Hahn,Female,ENT,MCh,27,20,11,704,True
107,DOC0107,Nicole,Harrington,Dr. Nicole Harrington,Male,Obstetrics,MS,7,12,14,787,True
108,DOC0108,David,Williams,Dr. David Williams,Female,Pathology,PhD,14,18,3,311,True
109,DOC0109,Scott,Hill,Dr. Scott Hill,Male,Obstetrics,FRCS,39,5,15,157,True
110,DOC0110,Ashley,Williams,Dr. Ashley Williams,Female,ICU,PhD,3,6,15,694,True
111,DOC0111,Stacey,Grimes,Dr. Stacey Grimes,Female,Urology,PhD,10,20,1,404,True
112,DOC0112,Daniel,Sanford,Dr. Daniel Sanford,Female,Oncology,MBBS,13,20,6,768,True
113,DOC0113,Sarah,Patterson,Dr. Sarah Patterson,Female,Cardiology,DO,20,18,7,570,True
114,DOC0114,Krista,Monroe,Dr. Krista Monroe,Male,Gastroenterology,MCh,10,7,7,242,True
115,DOC0115,William,Wilson,Dr. William Wilson,Male,Ophthalmology,MD,38,17,12,316,True
116,DOC0116,Samantha,Kidd,Dr. Samantha Kidd,Male,Dermatology,MS,1,10,11,507,True
117,DOC0117,Kaitlin,Rhodes,Dr. Kaitlin Rhodes,Female,Pulmonology,FRCS,37,17,4,345,True
118,DOC0118,Nicole,Aguilar,Dr. Nicole Aguilar,Female,Psychiatry,FACC,21,18,10,261,True
119,DOC0119,David,Sanchez,Dr. David Sanchez,Male,Gastroenterology,PhD,2,9,15,207,True
120,DOC0120,Joshua,Walker,Dr. Joshua Walker,Female,Rheumatology,FACC,5,7,7,537,True
121,DOC0121,Ronald,Holland,Dr. Ronald Holland,Male,Urology,MD,5,20,14,76,True
122,DOC0122,Tiffany,Kerr,Dr. Tiffany Kerr,Female,Endocrinology,MS,12,10,10,120,True
123,DOC0123,Christopher,Hamilton,Dr. Christopher Hamilton,Female,Psychiatry,FACC,13,9,14,81,True
124,DOC0124,Joshua,Bennett,Dr. Joshua Bennett,Male,Urology,MD,26,14,14,600,True
125,DOC0125,Rebecca,Allen,Dr. Rebecca Allen,Female,Neurology,DO,13,19,1,71,True
126,DOC0126,Jeffrey,Black,Dr. Jeffrey Black,Female,Obstetrics,MS,29,3,13,364,True
127,DOC0127,Joseph,Bryant,Dr. Joseph Bryant,Male,Orthopedics,DM,12,20,3,140,True
128,DOC0128,Brendan,Pham,Dr. Brendan Pham,Male,Gastroenterology,MCh,11,9,13,490,True
129,DOC0129,Benjamin,Sanchez,Dr. Benjamin Sanchez,Male,Orthopedics,DM,11,1,13,75,True
130,DOC0130,Kerri,Martinez,Dr. Kerri Martinez,Female,Gastroenterology,MRCP,13,7,4,69,True
131,DOC0131,Amber,Powell,Dr. Amber Powell,Male,Radiology,FACC,33,10,1,358,True
132,DOC0132,Jeffrey,Torres,Dr. Jeffrey Torres,Female,Cardiology,PhD,10,14,7,571,True
133,DOC0133,Daniel,Walker,Dr. Daniel Walker,Female,Orthopedics,PhD,11,12,5,132,True
134,DOC0134,Thomas,Cantu,Dr. Thomas Cantu,Male,Gastroenterology,MBBS,38,3,9,421,True
135,DOC0135,Casey,Williams,Dr. Casey Williams,Male,Neurology,MS,26,10,2,657,True
136,DOC0136,Tina,Adams,Dr. Tina Adams,Female,ENT,MBBS,8,5,1,518,True
137,DOC0137,John,Vasquez,Dr. John Vasquez,Female,Psychiatry,MRCP,34,6,7,612,True
138,DOC0138,Logan,Hampton,Dr. Logan Hampton,Male,Endocrinology,MS,8,15,12,286,True
139,DOC0139,Brandy,Olsen,Dr. Brandy Olsen,Male,Oncology,DM,7,17,5,756,True
140,DOC0140,Erin,Landry,Dr. Erin Landry,Male,Psychiatry,MRCP,18,4,5,159,True
141,DOC0141,Amanda,Gonzalez,Dr. Amanda Gonzalez,Non-binary,Urology,FRCS,27,13,3,503,True
142,DOC0142,Scott,Johnston,Dr. Scott Johnston,Male,Pathology,DO,8,9,5,376,True
143,DOC0143,James,Nelson,Dr. James Nelson,Female,Cardiology,MBBS,30,7,5,73,True
144,DOC0144,Ann,Brock,Dr. Ann Brock,Male,Gastroenterology,PhD,7,15,4,757,True
145,DOC0145,Sarah,Vaughn,Dr. Sarah Vaughn,Female,Psychiatry,PhD,31,5,6,576,True
146,DOC0146,Brett,Hahn,Dr. Brett Hahn,Male,Cardiology,DM,4,16,5,220,True
147,DOC0147,John,Brown,Dr. John Brown,Male,Neurology,FRCS,19,9,11,89,True
148,DOC0148,James,James,Dr. James James,Female,Pathology,FACC,25,2,6,556,True
149,DOC0149,Gregory,Spencer,Dr. Gregory Spencer,Female,Gastroenterology,MS,11,16,12,458,True
150,DOC0150,Cynthia,Dean,Dr. Cynthia Dean,Male,Dermatology,DM,24,18,10,87,True
151,DOC0151,Mary,Miller,Dr. Mary Miller,Male,Obstetrics,DM,27,12,10,789,True
152,DOC0152,Jessica,Powell,Dr. Jessica Powell,Male,Emergency,MRCP,26,15,9,588,True
153,DOC0153,Mary,James,Dr. Mary James,Male,Neurology,MBBS,16,3,14,396,True
154,DOC0154,Dorothy,Kramer,Dr. Dorothy Kramer,Male,Cardiology,MRCP,31,7,4,228,True
155,DOC0155,Robert,Lozano,Dr. Robert Lozano,Female,Neurology,FRCS,29,7,15,253,True
156,DOC0156,Evelyn,Sanders,Dr. Evelyn Sanders,Male,Nephrology,MCh,13,16,4,388,True
157,DOC0157,Kayla,Phillips,Dr. Kayla Phillips,Female,Psychiatry,PhD,29,8,3,92,True
158,DOC0158,Angela,Morgan,Dr. Angela Morgan,Male,Obstetrics,MRCP,36,15,13,325,True
159,DOC0159,Charles,Miller,Dr. Charles Miller,Male,Neurology,FRCS,32,7,14,213,True
160,DOC0160,Hailey,Wallace,Dr. Hailey Wallace,Female,Obstetrics,MS,29,13,2,134,True
161,DOC0161,Carlos,Ortiz,Dr. Carlos Ortiz,Male,ICU,MBBS,30,5,9,144,True
162,DOC0162,Christopher,Stewart,Dr. Christopher Stewart,Female,Pediatrics,DO,32,12,8,309,True
163,DOC0163,Cynthia,Pitts,Dr. Cynthia Pitts,Male,Dermatology,MD,12,2,4,336,True
164,DOC0164,Tina,Pena,Dr. Tina Pena,Female,Gastroenterology,MBBS,29,15,8,312,True
165,DOC0165,Gregory,Holloway,Dr. Gregory Holloway,Female,Radiology,FACC,8,1,11,567,True
166,DOC0166,Stephanie,Lee,Dr. Stephanie Lee,Female,Obstetrics,MCh,14,20,9,441,True
167,DOC0167,Joel,Fernandez,Dr. Joel Fernandez,Male,Dermatology,DO,37,17,8,194,True
168,DOC0168,Elizabeth,Rodgers,Dr. Elizabeth Rodgers,Male,Dermatology,MS,12,12,14,779,True
169,DOC0169,Aaron,Sparks,Dr. Aaron Sparks,Male,Endocrinology,MD,33,19,4,597,True
170,DOC0170,Matthew,Flores,Dr. Matthew Flores,Male,Pulmonology,MBBS,17,17,10,402,True
171,DOC0171,Mark,Jones,Dr. Mark Jones,Male,Neurology,DM,9,3,5,86,True
172,DOC0172,Elizabeth,Hayes,Dr. Elizabeth Hayes,Male,Cardiology,MBBS,4,15,15,735,True
173,DOC0173,Jennifer,Washington,Dr. Jennifer Washington,Male,Obstetrics,MCh,22,8,4,608,True
174,DOC0174,Steven,Marshall,Dr. Steven Marshall,Male,Rheumatology,DM,18,18,14,396,True
175,DOC0175,John,Butler,Dr. John Butler,Male,Cardiology,PhD,20,18,10,171,True
176,DOC0176,Rachel,Sanchez,Dr. Rachel Sanchez,Male,Neurology,PhD,2,20,4,130,True
177,DOC0177,Tracey,Ramirez,Dr. Tracey Ramirez,Male,Nephrology,DM,11,10,12,267,True
178,DOC0178,Dylan,Mccoy,Dr. Dylan Mccoy,Female,Dermatology,MCh,1,4,4,222,True
179,DOC0179,Stephanie,Williams,Dr. Stephanie Williams,Male,Pediatrics,MBBS,12,3,4,206,True
180,DOC0180,Angela,Martin,Dr. Angela Martin,Male,Pediatrics,DM,37,4,6,355,True
181,DOC0181,Kristen,Allen,Dr. Kristen Allen,Male,Nephrology,FACC,6,20,11,84,True
182,DOC0182,Kayla,Snow,Dr. Kayla Snow,Female,Gastroenterology,FACC,27,12,6,294,False
183,DOC0183,Candace,Perez,Dr. Candace Perez,Male,Urology,MCh,1,8,9,703,True
184,DOC0184,Mark,Aguilar,Dr. Mark Aguilar,Female,Emergency,FACC,22,9,9,699,True
185,DOC0185,Jennifer,Williams,Dr. Jennifer Williams,Female,Gastroenterology,PhD,36,4,3,56,True
186,DOC0186,Joshua,Little,Dr. Joshua Little,Male,ENT,MD,14,12,4,558,True
187,DOC0187,Jennifer,Valencia,Dr. Jennifer Valencia,Female,Radiology,MRCP,8,9,5,793,True
188,DOC0188,Carl,Ward,Dr. Carl Ward,Female,Pathology,MCh,23,16,4,483,True
189,DOC0189,Stephanie,Fisher,Dr. Stephanie Fisher,Male,Oncology,DO,11,1,14,342,True
190,DOC0190,Elizabeth,Tapia,Dr. Elizabeth Tapia,Male,Urology,DO,35,19,6,418,True
191,DOC0191,Harry,Ramirez,Dr. Harry Ramirez,Female,Cardiology,DM,34,2,7,209,True
192,DOC0192,Ashley,Medina,Dr. Ashley Medina,Non-binary,Pediatrics,FRCS,26,9,11,347,False
193,DOC0193,Michelle,Norris,Dr. Michelle Norris,Male,Endocrinology,PhD,25,7,12,752,True
194,DOC0194,Edward,Little,Dr. Edward Little,Male,Cardiology,DM,24,15,11,509,True
195,DOC0195,Grace,Sanford,Dr. Grace Sanford,Female,ICU,MS,29,14,9,373,True
196,DOC0196,Joshua,James,Dr. Joshua James,Male,Obstetrics,FRCS,18,4,15,143,True
197,DOC0197,Stacie,Valentine,Dr. Stacie Valentine,Female,Pathology,MS,38,10,14,729,True
198,DOC0198,Peter,Baker,Dr. Peter Baker,Male,Gastroenterology,MD,14,11,4,171,True
199,DOC0199,Rachel,Boyd,Dr. Rachel Boyd,Female,Urology,MRCP,1,10,3,591,True
200,DOC0200,Mary,Peters,Dr. Mary Peters,Female,Dermatology,DM,28,1,6,277,True
201,DOC0201,April,Williams,Dr. April Williams,Female,ENT,DO,26,4,13,258,True
202,DOC0202,Corey,Miller,Dr. Corey Miller,Female,ICU,FRCS,39,11,15,178,True
203,DOC0203,Samuel,Pearson,Dr. Samuel Pearson,Female,Pediatrics,MRCP,16,6,11,331,True
204,DOC0204,Teresa,Saunders,Dr. Teresa Saunders,Female,Endocrinology,DO,17,11,11,557,True
205,DOC0205,Elizabeth,Craig,Dr. Elizabeth Craig,Female,Radiology,FRCS,22,4,4,362,True
206,DOC0206,Robert,Baker,Dr. Robert Baker,Male,ICU,MRCP,16,15,9,68,True
207,DOC0207,Nicholas,Kim,Dr. Nicholas Kim,Female,Emergency,FACC,31,4,3,248,True
208,DOC0208,Brett,Diaz,Dr. Brett Diaz,Male,Emergency,MBBS,17,13,9,170,True
209,DOC0209,Frederick,King,Dr. Frederick King,Female,Endocrinology,FRCS,31,17,3,351,True
210,DOC0210,Christian,Keller,Dr. Christian Keller,Female,Psychiatry,MD,17,8,2,726,False
211,DOC0211,Kara,James,Dr. Kara James,Male,Orthopedics,MRCP,9,3,15,772,True
212,DOC0212,Jason,Johnson,Dr. Jason Johnson,Male,Pulmonology,MBBS,39,1,14,798,True
213,DOC0213,Christopher,Lozano,Dr. Christopher Lozano,Male,Radiology,MS,21,8,11,134,True
214,DOC0214,Allison,Thornton,Dr. Allison Thornton,Female,Urology,MD,28,3,10,415,False
215,DOC0215,Miguel,Larson,Dr. Miguel Larson,Male,Pulmonology,DO,24,18,4,84,True
216,DOC0216,Shelly,Graham,Dr. Shelly Graham,Male,ICU,MBBS,15,20,9,421,True
217,DOC0217,Daniel,Murray,Dr. Daniel Murray,Female,Rheumatology,MBBS,38,20,12,482,True
218,DOC0218,Jennifer,Avery,Dr. Jennifer Avery,Female,Nephrology,PhD,15,19,9,630,True
219,DOC0219,Taylor,Johnson,Dr. Taylor Johnson,Male,Nephrology,FACC,39,12,5,302,True
220,DOC0220,Dylan,Vasquez,Dr. Dylan Vasquez,Male,ENT,PhD,17,7,6,77,True
221,DOC0221,Marissa,Vega,Dr. Marissa Vega,Female,Oncology,MCh,1,9,13,390,True
222,DOC0222,Jennifer,Johnson,Dr. Jennifer Johnson,Female,Endocrinology,DO,2,6,4,370,True
223,DOC0223,Carlos,Rodriguez,Dr. Carlos Rodriguez,Female,Psychiatry,PhD,38,17,15,518,True
224,DOC0224,Mary,Sanchez,Dr. Mary Sanchez,Male,Orthopedics,DM,21,9,12,124,True
225,DOC0225,Aaron,Murphy,Dr. Aaron Murphy,Male,ENT,PhD,16,8,14,509,True
226,DOC0226,Michael,Green,Dr. Michael Green,Male,Nephrology,MBBS,32,14,8,350,True
227,DOC0227,Rebekah,Johnson,Dr. Rebekah Johnson,Female,Radiology,MS,25,8,4,604,True
228,DOC0228,Aaron,Williams,Dr. Aaron Williams,Male,Dermatology,DO,26,8,1,787,True
229,DOC0229,Jeffrey,Hooper,Dr. Jeffrey Hooper,Male,Dermatology,DM,27,5,9,220,True
230,DOC0230,David,Martinez,Dr. David Martinez,Female,Rheumatology,MBBS,8,2,6,615,False
231,DOC0231,James,Boyd,Dr. James Boyd,Female,ICU,MD,4,1,2,145,True
232,DOC0232,William,Little,Dr. William Little,Female,Ophthalmology,MRCP,29,9,14,788,True
233,DOC0233,Amanda,Sanchez,Dr. Amanda Sanchez,Male,Nephrology,DM,1,20,15,410,True
234,DOC0234,Beth,Wilson,Dr. Beth Wilson,Male,Orthopedics,MBBS,29,6,6,609,True
235,DOC0235,Elizabeth,Lyons,Dr. Elizabeth Lyons,Male,Rheumatology,FRCS,6,13,11,633,True
236,DOC0236,Angela,Hayes,Dr. Angela Hayes,Male,Orthopedics,PhD,11,7,7,506,True
237,DOC0237,Stanley,Johnson,Dr. Stanley Johnson,Male,Oncology,MCh,28,7,8,338,True
238,DOC0238,Reginald,Parker,Dr. Reginald Parker,Male,Neurology,MRCP,25,4,10,615,True
239,DOC0239,Diane,Cox,Dr. Diane Cox,Female,Rheumatology,DM,31,12,7,407,True
240,DOC0240,Debbie,Aguilar,Dr. Debbie Aguilar,Female,Dermatology,PhD,24,14,13,544,True
241,DOC0241,Frances,Brown,Dr. Frances Brown,Non-binary,Pediatrics,FRCS,2,8,3,509,True
242,DOC0242,Brett,Walker,Dr. Brett Walker,Male,Neurology,DO,33,11,11,398,True
243,DOC0243,Billy,Davis,Dr. Billy Davis,Male,Obstetrics,MS,9,10,15,137,True
244,DOC0244,Barbara,Johnson,Dr. Barbara Johnson,Male,Endocrinology,DO,6,6,13,269,False
245,DOC0245,Lydia,Raymond,Dr. Lydia Raymond,Male,ICU,FRCS,35,14,1,753,True
246,DOC0246,Kathleen,Barber,Dr. Kathleen Barber,Male,Pulmonology,MD,8,12,2,440,True
247,DOC0247,Michael,Riggs,Dr. Michael Riggs,Male,Urology,MD,21,2,10,527,True
248,DOC0248,Patrick,Baker,Dr. Patrick Baker,Female,Ophthalmology,DO,19,10,14,243,True
249,DOC0249,Jennifer,Huerta,Dr. Jennifer Huerta,Male,Rheumatology,MD,31,8,13,579,False
250,DOC0250,Michael,Matthews,Dr. Michael Matthews,Female,Emergency,MRCP,2,16,14,415,True
251,DOC0251,Reginald,Valentine,Dr. Reginald Valentine,Male,ICU,MD,5,7,3,214,True
252,DOC0252,Stacey,Mitchell,Dr. Stacey Mitchell,Male,Gastroenterology,FACC,17,20,8,159,True
253,DOC0253,Richard,Padilla,Dr. Richard Padilla,Male,Rheumatology,DO,19,13,11,346,True
254,DOC0254,Megan,Miller,Dr. Megan Miller,Male,Orthopedics,MCh,31,3,10,474,True
255,DOC0255,Stephanie,Bryant,Dr. Stephanie Bryant,Male,Neurology,MS,24,9,12,260,True
256,DOC0256,Lauren,Little,Dr. Lauren Little,Non-binary,ENT,DM,6,18,4,233,True
257,DOC0257,Jason,Kramer,Dr. Jason Kramer,Male,Nephrology,FRCS,39,6,7,252,True
258,DOC0258,Raymond,Lawrence,Dr. Raymond Lawrence,Male,Oncology,FRCS,18,15,7,270,True
259,DOC0259,Steven,Garcia,Dr. Steven Garcia,Female,ENT,MS,38,16,15,604,True
260,DOC0260,Rachel,Campos,Dr. Rachel Campos,Male,Orthopedics,PhD,39,14,4,424,True
261,DOC0261,Maria,Sutton,Dr. Maria Sutton,Female,Nephrology,FACC,3,2,5,401,True
262,DOC0262,Steven,Thomas,Dr. Steven Thomas,Male,Pediatrics,MS,20,8,1,171,True
263,DOC0263,Kristen,Burton,Dr. Kristen Burton,Female,Neurology,DO,17,7,3,458,True
